DBCODE,ENTITY,STANDID,SPECIES,YEAR_AGG,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA,NO_PLOTS
TP001,6,ABCO,ABCO,1994,INGROWTH,17,0.002,0.001,0.001,0.002,14
TP001,6,ABCO,ABCO,1994,LIVE,423,41.724,718.684,301.128,327.178,14
TP001,6,ABCO,ABCO,1994,MORTALITY,54,6.685,141.438,59.263,59.981,14
TP001,6,ABCO,CADE3,1994,INGROWTH,3,0,0,0,0,14
TP001,6,ABCO,CADE3,1994,LIVE,179,12.385,162.96,48.399,62.835,14
TP001,6,ABCO,CADE3,1994,MORTALITY,32,0.389,2.348,0.697,1.418,14
TP001,6,ABCO,PILA,1994,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,PILA,1994,LIVE,56,14.1,258.039,102.183,101.849,14
TP001,6,ABCO,PILA,1994,MORTALITY,5,0.026,0.096,0.038,0.071,14
TP001,6,ABCO,ABMA,1994,INGROWTH,4,0,0,0,0,14
TP001,6,ABCO,ABMA,1994,LIVE,34,6.713,113.453,45.268,57.212,14
TP001,6,ABCO,ABMA,1994,MORTALITY,0,0,0,0,0,14
TP001,6,ABCO,ALL,1994,INGROWTH,22,0.002,0.002,0.001,0.002,14
TP001,6,ABCO,ALL,1994,LIVE,691,74.922,1253.136,496.979,549.073,14
TP001,6,ABCO,ALL,1994,MORTALITY,91,7.1,143.882,59.998,61.47,14
TP001,6,ABCO,PILA,1995,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,PILA,1995,LIVE,0,0,0,0,0,14
TP001,6,ABCO,PILA,1995,MORTALITY,3,0.011,0.043,0.017,0.031,14
TP001,6,ABCO,CADE3,1995,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,CADE3,1995,LIVE,0,0,0,0,0,14
TP001,6,ABCO,CADE3,1995,MORTALITY,4,0.024,0.095,0.028,0.078,14
TP001,6,ABCO,ALL,1995,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,ALL,1995,LIVE,0,0,0,0,0,14
TP001,6,ABCO,ALL,1995,MORTALITY,6,0.035,0.138,0.045,0.109,14
TP001,6,ABCO,ABCO,1996,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,ABCO,1996,LIVE,0,0,0,0,0,14
TP001,6,ABCO,ABCO,1996,MORTALITY,7,0.649,7.362,3.085,3.984,14
TP001,6,ABCO,PILA,1996,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,PILA,1996,LIVE,0,0,0,0,0,14
TP001,6,ABCO,PILA,1996,MORTALITY,2,0.004,0.01,0.004,0.008,14
TP001,6,ABCO,CADE3,1996,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,CADE3,1996,LIVE,0,0,0,0,0,14
TP001,6,ABCO,CADE3,1996,MORTALITY,3,0.017,0.067,0.02,0.057,14
TP001,6,ABCO,ALL,1996,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,ALL,1996,LIVE,0,0,0,0,0,14
TP001,6,ABCO,ALL,1996,MORTALITY,11,0.67,7.439,3.108,4.049,14
TP001,6,ABCO,ABMA,1997,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,ABMA,1997,LIVE,0,0,0,0,0,14
TP001,6,ABCO,ABMA,1997,MORTALITY,2,0.007,0.021,0.008,0.021,14
TP001,6,ABCO,ABCO,1997,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,ABCO,1997,LIVE,0,0,0,0,0,14
TP001,6,ABCO,ABCO,1997,MORTALITY,15,1.018,18.956,7.942,8.406,14
TP001,6,ABCO,PILA,1997,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,PILA,1997,LIVE,0,0,0,0,0,14
TP001,6,ABCO,PILA,1997,MORTALITY,2,0.709,12.368,4.898,5.037,14
TP001,6,ABCO,CADE3,1997,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,CADE3,1997,LIVE,0,0,0,0,0,14
TP001,6,ABCO,CADE3,1997,MORTALITY,4,0.016,0.053,0.016,0.05,14
TP001,6,ABCO,ALL,1997,INGROWTH,0,0,0,0,0,14
TP001,6,ABCO,ALL,1997,LIVE,0,0,0,0,0,14
TP001,6,ABCO,ALL,1997,MORTALITY,21,1.751,31.397,12.864,13.514,14
TP001,6,AE10,ABLA2,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABLA2,1978,LIVE,5,1.036,12.061,4.065,7.478,16
TP001,6,AE10,ABLA2,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,ABAM,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABAM,1978,LIVE,446,49.492,823.679,343.474,355.796,16
TP001,6,AE10,ABAM,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,ABPR,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABPR,1978,LIVE,2,2.03,42.438,15.702,19.987,16
TP001,6,AE10,ABPR,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,TSME,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,TSME,1978,LIVE,7,2.266,37.803,15.31,19.314,16
TP001,6,AE10,TSME,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,CHNO,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,CHNO,1978,LIVE,322,38.647,448.95,182.722,170.589,16
TP001,6,AE10,CHNO,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,ALL,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ALL,1978,LIVE,781,93.471,1364.93,561.273,573.163,16
TP001,6,AE10,ALL,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,ABLA2,1983,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABLA2,1983,LIVE,5,1.051,12.266,4.134,7.61,16
TP001,6,AE10,ABLA2,1983,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,ABAM,1983,INGROWTH,9,0.036,0.205,0.086,0.107,16
TP001,6,AE10,ABAM,1983,LIVE,441,49.795,829.094,345.732,358.187,16
TP001,6,AE10,ABAM,1983,MORTALITY,11,1.096,23.353,9.738,9.627,16
TP001,6,AE10,ABPR,1983,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABPR,1983,LIVE,2,2.221,47.498,17.574,22.387,16
TP001,6,AE10,ABPR,1983,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,TSME,1983,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,TSME,1983,LIVE,7,2.313,38.825,15.724,19.814,16
TP001,6,AE10,TSME,1983,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,CHNO,1983,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,CHNO,1983,LIVE,318,39.321,460.262,187.327,174.18,16
TP001,6,AE10,CHNO,1983,MORTALITY,4,0.197,1.711,0.696,0.762,16
TP001,6,AE10,ALL,1983,INGROWTH,9,0.036,0.205,0.086,0.107,16
TP001,6,AE10,ALL,1983,LIVE,772,94.703,1387.947,570.491,582.177,16
TP001,6,AE10,ALL,1983,MORTALITY,15,1.293,25.064,10.435,10.389,16
TP001,6,AE10,ABLA2,1988,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABLA2,1988,LIVE,5,1.065,12.438,4.192,7.719,16
TP001,6,AE10,ABLA2,1988,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,ABAM,1988,INGROWTH,4,0.057,0.428,0.179,0.214,16
TP001,6,AE10,ABAM,1988,LIVE,424,50.999,855.777,356.859,369.273,16
TP001,6,AE10,ABAM,1988,MORTALITY,20,0.355,3.256,1.358,1.564,16
TP001,6,AE10,ABPR,1988,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABPR,1988,LIVE,2,2.402,52.352,19.37,24.723,16
TP001,6,AE10,ABPR,1988,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,TSME,1988,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,TSME,1988,LIVE,7,2.378,40.184,16.275,20.483,16
TP001,6,AE10,TSME,1988,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,CHNO,1988,INGROWTH,1,0.021,0.14,0.057,0.072,16
TP001,6,AE10,CHNO,1988,LIVE,314,39.764,468.428,190.65,176.664,16
TP001,6,AE10,CHNO,1988,MORTALITY,5,0.248,2.173,0.884,0.964,16
TP001,6,AE10,ALL,1988,INGROWTH,4,0.078,0.568,0.236,0.286,16
TP001,6,AE10,ALL,1988,LIVE,751,96.607,1429.18,587.346,598.862,16
TP001,6,AE10,ALL,1988,MORTALITY,25,0.604,5.429,2.242,2.527,16
TP001,6,AE10,ABLA2,1993,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABLA2,1993,LIVE,5,1.081,12.669,4.27,7.868,16
TP001,6,AE10,ABLA2,1993,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,ABAM,1993,INGROWTH,11,1.167,26.487,11.045,10.815,16
TP001,6,AE10,ABAM,1993,LIVE,410,53.191,906.974,378.208,390.263,16
TP001,6,AE10,ABAM,1993,MORTALITY,25,0.329,2.478,1.033,1.236,16
TP001,6,AE10,ABPR,1993,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABPR,1993,LIVE,2,2.608,58.017,21.466,27.511,16
TP001,6,AE10,ABPR,1993,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,TSME,1993,INGROWTH,1,0.018,0.108,0.044,0.067,16
TP001,6,AE10,TSME,1993,LIVE,8,2.43,41.055,16.627,20.92,16
TP001,6,AE10,TSME,1993,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,CHNO,1993,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,CHNO,1993,LIVE,311,40.243,477.053,194.161,179.316,16
TP001,6,AE10,CHNO,1993,MORTALITY,4,0.299,3.166,1.289,1.268,16
TP001,6,AE10,ALL,1993,INGROWTH,13,1.185,26.594,11.089,10.881,16
TP001,6,AE10,ALL,1993,LIVE,735,99.553,1495.769,614.732,625.877,16
TP001,6,AE10,ALL,1993,MORTALITY,28,0.628,5.644,2.322,2.504,16
TP001,6,AE10,ABLA2,1998,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABLA2,1998,LIVE,4,0.972,11.622,3.916,7.252,16
TP001,6,AE10,ABLA2,1998,MORTALITY,1,0.113,1.104,0.372,0.653,16
TP001,6,AE10,ABAM,1998,INGROWTH,14,0.069,0.417,0.174,0.216,16
TP001,6,AE10,ABAM,1998,LIVE,401,51.532,874.673,364.739,376.722,16
TP001,6,AE10,ABAM,1998,MORTALITY,22,1.768,28.803,12.011,12.495,16
TP001,6,AE10,ABPR,1998,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABPR,1998,LIVE,2,2.841,75.466,27.922,30.685,16
TP001,6,AE10,ABPR,1998,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,TSME,1998,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,TSME,1998,LIVE,8,2.497,42.566,17.239,21.653,16
TP001,6,AE10,TSME,1998,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,CHNO,1998,INGROWTH,1,0.019,0.123,0.05,0.064,16
TP001,6,AE10,CHNO,1998,LIVE,307,40.199,478.693,194.828,179.484,16
TP001,6,AE10,CHNO,1998,MORTALITY,5,0.57,6.378,2.596,2.477,16
TP001,6,AE10,ALL,1998,INGROWTH,15,0.088,0.54,0.224,0.28,16
TP001,6,AE10,ALL,1998,LIVE,721,98.042,1483.019,608.645,615.797,16
TP001,6,AE10,ALL,1998,MORTALITY,28,2.45,36.285,14.979,15.625,16
TP001,6,AE10,ABLA2,2007,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABLA2,2007,LIVE,1,0.435,5.502,1.854,3.481,16
TP001,6,AE10,ABLA2,2007,MORTALITY,4,0.549,6.294,2.121,3.886,16
TP001,6,AE10,ABAM,2007,INGROWTH,17,0.149,1.02,0.425,0.518,16
TP001,6,AE10,ABAM,2007,LIVE,397,52.445,897.515,374.264,386.024,16
TP001,6,AE10,ABAM,2007,MORTALITY,25,1.752,28.814,12.015,12.444,16
TP001,6,AE10,ABPR,2007,INGROWTH,0,0,0,0,0,16
TP001,6,AE10,ABPR,2007,LIVE,2,2.512,55.263,20.447,26.103,16
TP001,6,AE10,ABPR,2007,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,TSME,2007,INGROWTH,1,0.019,0.115,0.047,0.071,16
TP001,6,AE10,TSME,2007,LIVE,8,2.564,44.002,17.821,22.354,16
TP001,6,AE10,TSME,2007,MORTALITY,0,0,0,0,0,16
TP001,6,AE10,CHNO,2007,INGROWTH,2,0.037,0.244,0.099,0.127,16
TP001,6,AE10,CHNO,2007,LIVE,298,41.484,503.802,205.047,186.887,16
TP001,6,AE10,CHNO,2007,MORTALITY,13,1.032,10.817,4.403,4.347,16
TP001,6,AE10,ALL,2007,INGROWTH,20,0.205,1.379,0.571,0.716,16
TP001,6,AE10,ALL,2007,LIVE,705,99.44,1506.083,619.433,624.85,16
TP001,6,AE10,ALL,2007,MORTALITY,40,3.334,45.925,18.539,20.678,16
TP001,6,AG05,TABR,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AG05,TABR,1978,LIVE,106,1.292,10.57,6.342,4.795,16
TP001,6,AG05,TABR,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AG05,ABAM,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AG05,ABAM,1978,LIVE,380,29.737,438.416,182.819,193.626,16
TP001,6,AG05,ABAM,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AG05,PSME,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AG05,PSME,1978,LIVE,20,20.905,483.414,217.053,241.762,16
TP001,6,AG05,PSME,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AG05,TSHE,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AG05,TSHE,1978,LIVE,258,8.527,126.986,53.334,50.854,16
TP001,6,AG05,TSHE,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AG05,THPL,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AG05,THPL,1978,LIVE,103,22.15,224.375,70.229,109.154,16
TP001,6,AG05,THPL,1978,MORTALITY,0,0,0,0,0,16
