DBCODE,ENTITY,STANDID,PLOTID,SPECIES,YEAR,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA
TP001,8,CH14,CH140001,PSME,1999,LIVE,127,63.987,1263.523,567.322,627.354
TP001,8,CH14,CH140001,PSME,1999,MORTALITY,3,0.713,12.206,5.48,6.021
TP001,8,CH14,CH140001,TSHE,1999,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,TSHE,1999,LIVE,176,23.202,443.901,186.438,170.058
TP001,8,CH14,CH140001,TSHE,1999,MORTALITY,8,0.871,16.775,7.045,6.446
TP001,8,CH14,CH140001,ALL,2004,INGROWTH,5,0.013,0.06,0.025,0.031
TP001,8,CH14,CH140001,ALL,2004,LIVE,302,90.222,1776.647,782.975,827.722
TP001,8,CH14,CH140001,ALL,2004,MORTALITY,15,1.183,19.558,8.214,7.733
TP001,8,CH14,CH140001,PISI,2004,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,2004,LIVE,10,1.324,21.388,7.914,7.584
TP001,8,CH14,CH140001,PISI,2004,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,2004,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,2004,LIVE,127,65.726,1305.273,586.068,648.246
TP001,8,CH14,CH140001,PSME,2004,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,TSHE,2004,INGROWTH,5,0.013,0.06,0.025,0.031
TP001,8,CH14,CH140001,TSHE,2004,LIVE,166,23.172,449.985,188.994,171.893
TP001,8,CH14,CH140001,TSHE,2004,MORTALITY,15,1.183,19.558,8.214,7.733
TP001,8,CH14,CH140001,ALL,2009,INGROWTH,10,0.796,13.215,5.55,5.224
TP001,8,CH14,CH140001,ALL,2009,LIVE,297,91.262,1809.278,796.847,840.669
TP001,8,CH14,CH140001,ALL,2009,MORTALITY,15,2.71,50.418,22.308,24.126
TP001,8,CH14,CH140001,PISI,2009,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,2009,LIVE,10,1.353,21.901,8.103,7.766
TP001,8,CH14,CH140001,PISI,2009,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,2009,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,2009,LIVE,124,65.736,1311.903,589.044,651.684
TP001,8,CH14,CH140001,PSME,2009,MORTALITY,3,1.86,39.054,17.535,19.44
TP001,8,CH14,CH140001,TSHE,2009,INGROWTH,10,0.796,13.215,5.55,5.224
TP001,8,CH14,CH140001,TSHE,2009,LIVE,164,24.174,475.474,199.699,181.219
TP001,8,CH14,CH140001,TSHE,2009,MORTALITY,13,0.85,11.364,4.773,4.687
TP001,8,CH41,CH410001,ALL,1940,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1940,LIVE,374,67.372,1088.357,485.605,534.319
TP001,8,CH41,CH410001,ALL,1940,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,ALRU,1940,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALRU,1940,LIVE,23,2.599,30.529,11.296,15.057
TP001,8,CH41,CH410001,ALRU,1940,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1940,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1940,LIVE,5,0.063,0.662,0.245,0.235
TP001,8,CH41,CH410001,PISI,1940,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PREM,1940,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PREM,1940,LIVE,3,0.071,0.578,0.214,0.314
TP001,8,CH41,CH410001,PREM,1940,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1940,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1940,LIVE,309,63.244,1037.359,465.774,510.871
TP001,8,CH41,CH410001,PSME,1940,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,TSHE,1940,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,TSHE,1940,LIVE,35,1.395,19.23,8.076,7.843
TP001,8,CH41,CH410001,TSHE,1940,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1946,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1946,LIVE,361,71.272,1175.101,524.495,577.166
TP001,8,CH41,CH410001,ALL,1946,MORTALITY,13,0.974,12.723,5.667,6.242
TP001,8,CH41,CH410001,ALRU,1946,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALRU,1946,LIVE,23,2.602,30.58,11.315,15.081
TP001,8,CH41,CH410001,ALRU,1946,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1946,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1946,LIVE,5,0.066,0.696,0.257,0.247
TP001,8,CH41,CH410001,PISI,1946,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PREM,1946,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PREM,1946,LIVE,0,0,0,0,0
TP001,8,CH41,CH410001,PREM,1946,MORTALITY,3,0.071,0.578,0.214,0.314
TP001,8,CH41,CH410001,PSME,1946,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1946,LIVE,299,67.008,1121.261,503.446,552.679
TP001,8,CH41,CH410001,PSME,1946,MORTALITY,10,0.903,12.145,5.453,5.927
TP001,8,CH41,CH410001,TSHE,1946,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,TSHE,1946,LIVE,35,1.596,22.565,9.477,9.16
TP001,8,CH41,CH410001,TSHE,1946,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1951,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1951,LIVE,356,75.232,1259.666,562.324,618.911
TP001,8,CH41,CH410001,ALL,1951,MORTALITY,5,0.457,6.166,2.768,3.01
TP001,8,CH41,CH410001,ALRU,1951,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALRU,1951,LIVE,23,2.632,31.011,11.474,15.284
TP001,8,CH41,CH410001,ALRU,1951,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1951,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1951,LIVE,5,0.074,0.797,0.295,0.282
TP001,8,CH41,CH410001,PISI,1951,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1951,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1951,LIVE,295,70.716,1201.878,539.643,592.827
TP001,8,CH41,CH410001,PSME,1951,MORTALITY,5,0.457,6.166,2.768,3.01
TP001,8,CH41,CH410001,TSHE,1951,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,TSHE,1951,LIVE,35,1.811,25.98,10.912,10.517
TP001,8,CH41,CH410001,TSHE,1951,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1957,INGROWTH,3,0.005,0.024,0.01,0.012
TP001,8,CH41,CH410001,ALL,1957,LIVE,334,75.819,1293.816,578.824,635.636
TP001,8,CH41,CH410001,ALL,1957,MORTALITY,25,2.526,31.362,12.78,15.408
TP001,8,CH41,CH410001,ALRU,1957,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALRU,1957,LIVE,10,1.208,14.438,5.342,7.093
TP001,8,CH41,CH410001,ALRU,1957,MORTALITY,13,1.415,16.471,6.094,8.142
TP001,8,CH41,CH410001,PISI,1957,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1957,LIVE,5,0.075,0.808,0.299,0.287
TP001,8,CH41,CH410001,PISI,1957,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1957,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1957,LIVE,282,72.421,1247.701,560.218,615.798
TP001,8,CH41,CH410001,PSME,1957,MORTALITY,13,1.111,14.89,6.686,7.266
TP001,8,CH41,CH410001,TSHE,1957,INGROWTH,3,0.005,0.024,0.01,0.012
TP001,8,CH41,CH410001,TSHE,1957,LIVE,38,2.115,30.868,12.965,12.458
TP001,8,CH41,CH410001,TSHE,1957,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1978,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALL,1978,LIVE,282,85.286,1545.045,690.954,757.957
TP001,8,CH41,CH410001,ALL,1978,MORTALITY,52,6.327,91.561,40.732,44.89
TP001,8,CH41,CH410001,ALRU,1978,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,ALRU,1978,LIVE,5,0.832,10.635,3.935,5.148
TP001,8,CH41,CH410001,ALRU,1978,MORTALITY,5,0.414,4.415,1.634,2.227
TP001,8,CH41,CH410001,PISI,1978,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PISI,1978,LIVE,5,0.113,1.31,0.485,0.464
TP001,8,CH41,CH410001,PISI,1978,MORTALITY,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1978,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,PSME,1978,LIVE,238,80.501,1470.074,660.063,727.42
TP001,8,CH41,CH410001,PSME,1978,MORTALITY,45,5.814,86.117,38.666,42.217
TP001,8,CH41,CH410001,TSHE,1978,INGROWTH,0,0,0,0,0
TP001,8,CH41,CH410001,TSHE,1978,LIVE,35,3.84,63.027,26.471,24.924
