DBCODE,ENTITY,STANDID,SPECIES,YEAR_AGG,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA,NO_PLOTS
TP001,6,HR02,TSHE,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,PSME,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,PSME,1978,LIVE,1,1.711,42.769,19.203,21.454,16
TP001,6,HR02,PSME,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,ALL,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,ALL,1978,LIVE,133,105.227,2509.881,940.182,903.685,16
TP001,6,HR02,ALL,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,PISI,1984,INGROWTH,17,0.05,0.413,0.153,0.146,16
TP001,6,HR02,PISI,1984,LIVE,76,85.296,2107.145,777.953,747.466,16
TP001,6,HR02,PISI,1984,MORTALITY,5,8.729,209.182,77.236,74.201,16
TP001,6,HR02,THPL,1984,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,THPL,1984,LIVE,1,0.246,2.28,0.714,1.165,16
TP001,6,HR02,THPL,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,TSHE,1984,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,TSHE,1984,LIVE,65,11.423,208.359,87.511,80.735,16
TP001,6,HR02,TSHE,1984,MORTALITY,4,0.436,7.079,2.973,2.813,16
TP001,6,HR02,PSME,1984,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,PSME,1984,LIVE,1,1.767,44.394,19.933,22.317,16
TP001,6,HR02,PSME,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,ALL,1984,INGROWTH,17,0.05,0.413,0.153,0.146,16
TP001,6,HR02,ALL,1984,LIVE,142,98.732,2362.178,886.111,851.683,16
TP001,6,HR02,ALL,1984,MORTALITY,8,9.165,216.261,80.21,77.014,16
TP001,6,HR02,PISI,1989,INGROWTH,21,0.083,0.736,0.272,0.261,16
TP001,6,HR02,PISI,1989,LIVE,97,87.072,2155.332,795.703,764.561,16
TP001,6,HR02,PISI,1989,MORTALITY,1,0.005,0.046,0.017,0.016,16
TP001,6,HR02,THPL,1989,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,THPL,1989,LIVE,1,0.261,2.454,0.768,1.242,16
TP001,6,HR02,THPL,1989,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,TSHE,1989,INGROWTH,2,0.014,0.085,0.036,0.041,16
TP001,6,HR02,TSHE,1989,LIVE,65,11.561,212.337,89.182,82.175,16
TP001,6,HR02,TSHE,1989,MORTALITY,2,0.599,11.352,4.768,4.384,16
TP001,6,HR02,PSME,1989,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,PSME,1989,LIVE,1,1.815,45.851,20.587,23.051,16
TP001,6,HR02,PSME,1989,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,ALL,1989,INGROWTH,23,0.097,0.821,0.308,0.302,16
TP001,6,HR02,ALL,1989,LIVE,163,100.708,2415.975,906.24,871.028,16
TP001,6,HR02,ALL,1989,MORTALITY,4,0.604,11.398,4.785,4.401,16
TP001,6,HR02,PISI,1995,INGROWTH,41,0.152,1.317,0.487,0.467,16
TP001,6,HR02,PISI,1995,LIVE,120,78.432,1954.811,721.546,693.435,16
TP001,6,HR02,PISI,1995,MORTALITY,20,11.053,265.334,98.004,94.119,16
TP001,6,HR02,THPL,1995,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,THPL,1995,LIVE,1,0.28,2.694,0.843,1.346,16
TP001,6,HR02,THPL,1995,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,TSHE,1995,INGROWTH,2,0.016,0.114,0.048,0.054,16
TP001,6,HR02,TSHE,1995,LIVE,59,11.081,206.719,86.822,79.77,16
TP001,6,HR02,TSHE,1995,MORTALITY,8,1.262,22.25,9.345,8.693,16
